epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,74.2455,0.72846,0.79399,1.2044,0.72798,0.33333,0.33547,0.23483,2.47276,1.96275,4.84944,0.000816425,0.000816425,0.000816425
44,75.6946,0.36763,0.57534,0.91922,0.95536,0.66667,0.67192,0.28539,2.62591,1.84177,3.66954,0.000814102,0.000814102,0.000814102
45,77.1101,0.36807,0.4616,0.88778,0.95536,0.66667,0.67192,0.28539,2.62591,1.84177,3.66954,0.00081079,0.00081079,0.00081079
46,78.4695,0.44564,0.5034,0.89484,0.92436,1,0.995,0.65369,1.34894,1.18373,2.13416,0.000806487,0.000806487,0.000806487
47,80.3382,0.53418,0.48426,0.90453,0.92436,1,0.995,0.65369,1.34894,1.18373,2.13416,0.000801195,0.000801195,0.000801195
48,82.2706,0.37321,0.44011,0.84236,0.70743,1,0.9125,0.85483,0.64645,1.17649,1.28334,0.000794913,0.000794913,0.000794913
49,83.6475,0.38613,0.40145,0.88363,0.70743,1,0.9125,0.85483,0.64645,1.17649,1.28334,0.00078764,0.00078764,0.00078764
50,85.0361,0.38841,0.64727,0.92855,0.89928,1,0.995,0.86431,0.79571,1.17549,1.61368,0.000779377,0.000779377,0.000779377
51,86.4437,0.43077,0.46698,1.04375,0.89928,1,0.995,0.86431,0.79571,1.17549,1.61368,0.0007625,0.0007625,0.0007625
52,87.8464,0.34264,0.41958,0.93249,0.87331,0.66667,0.863,0.73456,0.87386,1.09892,1.73946,0.00073775,0.00073775,0.00073775
53,89.143,0.43086,0.62703,0.92945,0.87331,0.66667,0.863,0.73456,0.87386,1.09892,1.73946,0.000713,0.000713,0.000713
54,90.5742,0.33239,0.39747,0.87715,1,0.90123,0.995,0.76122,0.59231,2.31058,1.33065,0.00068825,0.00068825,0.00068825
55,92.1921,0.37277,0.37762,0.87067,1,0.90123,0.995,0.76122,0.59231,2.31058,1.33065,0.0006635,0.0006635,0.0006635
56,94.1236,0.36298,0.37952,0.8474,0.84991,0.66667,0.863,0.80402,0.49445,3.38769,1.14516,0.00063875,0.00063875,0.00063875
57,95.5265,0.3878,0.47,1.00726,0.84991,0.66667,0.863,0.80402,0.49445,3.38769,1.14516,0.000614,0.000614,0.000614
58,96.9725,0.35431,0.33566,0.91431,0.8644,0.66667,0.863,0.79064,0.45686,2.16159,1.10455,0.00058925,0.00058925,0.00058925
59,98.3445,0.34529,0.33467,0.85371,0.8644,0.66667,0.863,0.79064,0.45686,2.16159,1.10455,0.0005645,0.0005645,0.0005645
60,99.8492,0.31324,0.37617,0.86318,0.73397,0.93588,0.9125,0.78886,0.49602,1.42898,1.11966,0.00053975,0.00053975,0.00053975
61,101.233,0.38319,0.39797,0.89177,0.73397,0.93588,0.9125,0.78886,0.49602,1.42898,1.11966,0.000515,0.000515,0.000515
62,102.622,0.37628,0.35562,0.88753,0.70509,1,0.9125,0.83869,0.56962,1.25991,1.17562,0.00049025,0.00049025,0.00049025
63,104.034,0.38187,0.46893,0.87357,0.70509,1,0.9125,0.83869,0.56962,1.25991,1.17562,0.0004655,0.0004655,0.0004655
64,105.802,0.28938,0.29975,0.86113,0.85013,1,0.995,0.84684,0.64667,1.00942,1.22894,0.00044075,0.00044075,0.00044075
65,107.572,0.26286,0.35456,0.91255,0.85013,1,0.995,0.84684,0.64667,1.00942,1.22894,0.000416,0.000416,0.000416
66,108.961,0.31267,0.40376,0.84112,0.87726,1,0.995,0.82992,0.60197,0.88647,1.17899,0.00039125,0.00039125,0.00039125
67,110.351,0.28012,0.3145,0.84414,0.87726,1,0.995,0.82992,0.60197,0.88647,1.17899,0.0003665,0.0003665,0.0003665
68,111.745,0.27106,0.31916,0.89295,0.92686,1,0.995,0.91249,0.46231,0.62639,1.07639,0.00034175,0.00034175,0.00034175
69,113.058,0.40183,0.40079,0.85285,0.92686,1,0.995,0.91249,0.46231,0.62639,1.07639,0.000317,0.000317,0.000317
70,114.416,0.35854,0.35681,0.87834,0.95426,1,0.995,0.91251,0.41126,0.5278,1.06058,0.00029225,0.00029225,0.00029225
71,117.459,0.56404,0.63985,1.05384,0.95426,1,0.995,0.91251,0.41126,0.5278,1.06058,0.0002675,0.0002675,0.0002675
72,120.293,0.31442,0.40646,0.92961,0.96875,1,0.995,0.96229,0.36546,0.49522,1.01515,0.00024275,0.00024275,0.00024275
73,121.974,0.29254,0.38416,0.89885,0.96875,1,0.995,0.96229,0.36546,0.49522,1.01515,0.000218,0.000218,0.000218
74,123.411,0.27617,0.38274,0.8547,0.97705,1,0.995,0.95135,0.33214,0.43307,0.96261,0.00019325,0.00019325,0.00019325
75,125.868,0.2792,0.39408,0.87519,0.97705,1,0.995,0.95135,0.33214,0.43307,0.96261,0.0001685,0.0001685,0.0001685
76,127.192,0.26424,0.36864,0.93282,0.9856,1,0.995,0.995,0.30965,0.33806,0.93494,0.00014375,0.00014375,0.00014375
77,128.591,0.24596,0.30845,0.89688,0.9856,1,0.995,0.995,0.30965,0.33806,0.93494,0.000119,0.000119,0.000119
78,130.12,0.2429,0.34806,0.76827,0.98664,1,0.995,0.94039,0.32743,0.2921,0.94294,9.425e-05,9.425e-05,9.425e-05
79,131.898,0.19741,0.32724,0.73696,0.98664,1,0.995,0.94039,0.32743,0.2921,0.94294,6.95e-05,6.95e-05,6.95e-05
80,133.666,0.22988,0.35895,0.84915,0.987,1,0.995,0.94041,0.34574,0.32247,0.96277,4.475e-05,4.475e-05,4.475e-05
